Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,51.540001,51.68,50.459999,50.509998,9305000,50.509998
2014-12-30,50.349998,51.27,50.349998,51.220001,10703500,51.220001
2014-12-29,50.669998,51.009998,50.509998,50.529999,6624500,50.529999
2014-12-26,50.650002,51.060001,50.610001,50.860001,5169700,50.860001
2014-12-24,50.189999,50.919998,50.189999,50.650002,5961900,50.650002
2014-12-23,51.459999,51.459999,49.93,50.02,15514000,50.02
2014-12-22,50.990002,51.599998,50.950001,51.150002,24021100,51.150002
2014-12-19,51.060001,51.470001,50.830002,50.880001,24110200,50.880001
2014-12-18,50.93,51.150002,50.439999,50.91,15338900,50.91
2014-12-17,49.02,50.25,48.900002,50.119999,17112300,50.119999
2014-12-16,49.50,50.080002,48.810001,48.849998,21399300,48.849998
2014-12-15,50.419998,50.919998,49.50,49.82,18132500,49.82
2014-12-12,49.540001,51.169998,49.48,50.240002,20370500,50.240002
2014-12-11,49.540001,50.580002,49.43,49.939999,21100200,49.939999
2014-12-10,50.330002,50.689999,49.189999,49.209999,16184100,49.209999
2014-12-09,48.75,50.529999,48.290001,50.509998,19655600,50.509998
2014-12-08,50.52,50.900002,49.220001,49.619999,18190100,49.619999
2014-12-05,51.029999,51.25,50.509998,50.990002,15418100,50.990002
2014-12-04,50.189999,50.669998,49.900002,50.41,12136700,50.41
2014-12-03,50.709999,50.970001,50.200001,50.279999,14236000,50.279999
2014-12-02,50.27,51.119999,50.009998,50.669998,16099900,50.669998
2014-12-01,51.43,51.43,49.66,50.099998,23146900,50.099998
2014-11-28,51.869999,52.00,51.639999,51.740002,8913700,51.740002
2014-11-26,51.560001,52.259998,51.52,51.93,13428500,51.93
2014-11-25,51.98,52.189999,51.599998,51.720001,14219600,51.720001
2014-11-24,51.25,51.830002,51.07,51.830002,14643500,51.830002
2014-11-21,51.990002,52.25,50.990002,51.040001,22225300,51.040001
2014-11-20,50.599998,52.23,50.27,51.25,28916000,51.25
2014-11-19,51.240002,51.369999,50.00,50.580002,29260000,50.580002
2014-11-18,52.279999,52.619999,51.34,51.75,26847300,51.75
2014-11-17,51.830002,52.419998,50.939999,52.369999,38392800,52.369999
2014-11-14,50.52,51.950001,50.470001,51.75,28824700,51.75
2014-11-13,50.959999,51.169998,49.950001,50.50,35513400,50.50
2014-11-12,49.330002,50.630001,49.220001,50.599998,30564700,50.599998
2014-11-11,48.57,49.18,48.099998,49.049999,31586300,49.049999
2014-11-10,48.799999,49.630001,48.790001,49.41,24730300,49.41
2014-11-07,47.900002,48.669998,47.860001,48.549999,24166700,48.549999
2014-11-06,47.369999,47.98,46.599998,47.93,22636000,47.93
2014-11-05,47.619999,48.279999,47.32,47.459999,33021500,47.459999
2014-11-04,45.990002,47.130001,45.740002,47.080002,25051500,47.080002
2014-11-03,46.049999,46.720001,45.939999,46.34,17181500,46.34
2014-10-31,46.16,46.52,45.669998,46.049999,18446800,46.049999
2014-10-30,45.209999,45.84,45.130001,45.630001,16205500,45.630001
2014-10-29,45.939999,45.98,45.130001,45.43,25389100,45.43
2014-10-28,45.009998,46.150002,44.880001,45.869999,36834900,45.869999
2014-10-27,43.310001,44.82,43.290001,44.700001,36596500,44.700001
2014-10-24,42.529999,43.650002,42.400002,43.50,33805800,43.50
2014-10-23,42.400002,42.830002,42.259998,42.599998,30653400,42.599998
2014-10-22,42.419998,42.880001,41.77,42.00,69348900,42.00
2014-10-21,39.650002,40.48,39.459999,40.18,41955200,40.18
2014-10-20,38.470001,39.400002,38.25,39.279999,17802400,39.279999
2014-10-17,38.740002,38.98,38.310001,38.450001,24107000,38.450001
2014-10-16,36.950001,38.50,36.919998,38.119999,26998500,38.119999
2014-10-15,37.27,38.080002,36.200001,37.82,41973500,37.82
2014-10-14,38.66,39.00,37.709999,37.970001,38509000,37.970001
2014-10-13,39.52,40.07,38.290001,38.380001,38841900,38.380001
2014-10-10,40.73,41.07,39.59,39.599998,36771500,39.599998
2014-10-09,40.900002,41.25,40.419998,41.099998,33519600,41.099998
2014-10-08,41.00,41.290001,40.099998,41.080002,26593500,41.080002
2014-10-07,41.060001,41.290001,40.779999,40.93,22538300,40.93
2014-10-06,41.200001,41.73,41.040001,41.52,23576100,41.52
2014-10-03,40.790001,41.689999,40.650002,41.029999,38191700,41.029999
2014-10-02,40.240002,40.639999,39.689999,40.50,24584400,40.50
